,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119
1598,1598,0.061,0.063,0.132,0.021,0.025,0.168,0.061,0.165,0.061,0.061,0.170,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.034,0.364,0.530,0.061,0.069,0.061,0.061,0.478,0.061,0.025,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.563,0.563,0.170,0.563,0.112,0.061,0.061,0.170,0.563,0.563,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.063,0.132,0.021,0.025,0.168,0.061,0.165,0.061,0.061,0.170,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.034,0.364,0.530,0.061,0.069,0.061,0.061,0.478,0.061,0.025,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.563,0.563,0.170,0.563,0.112,0.061,0.061,0.170,0.563,0.563,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
1599,1599,0.611,0.818,0.818,0.471,0.471,0.857,0.611,0.611,0.482,0.611,0.611,0.257,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.763,0.857,0.860,0.611,0.818,0.611,0.611,0.763,0.611,0.471,0.257,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.857,0.857,0.763,0.611,0.543,0.857,0.857,0.611,0.611,0.543,0.854,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.818,0.818,0.471,0.471,0.857,0.611,0.611,0.482,0.611,0.611,0.257,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.763,0.857,0.860,0.611,0.818,0.611,0.611,0.763,0.611,0.471,0.257,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.857,0.857,0.763,0.611,0.543,0.857,0.857,0.611,0.611,0.543,0.854,0.611,0.611,0.611,0.611,0.611,0.611,0.611
1600,1600,0.909,0.909,0.909,0.909,0.909,0.918,0.909,0.909,0.753,0.909,0.909,0.815,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.918,0.919,0.909,0.909,0.918,0.909,0.909,0.919,0.909,0.909,0.815,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.918,0.909,0.919,0.918,0.909,0.918,0.919,0.919,0.918,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.918,0.909,0.909,0.753,0.909,0.909,0.815,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.918,0.919,0.909,0.909,0.918,0.909,0.909,0.919,0.909,0.909,0.815,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.918,0.909,0.919,0.918,0.909,0.918,0.919,0.919,0.918,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909
1601,1601,0.917,0.916,0.920,0.918,0.920,0.931,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.931,0.931,0.931,0.917,0.917,0.917,0.917,0.931,0.917,0.916,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.931,0.931,0.931,0.931,0.917,0.917,0.917,0.917,0.931,0.931,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.916,0.920,0.918,0.920,0.931,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.931,0.931,0.931,0.917,0.917,0.917,0.917,0.931,0.917,0.916,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.931,0.931,0.931,0.931,0.917,0.917,0.917,0.917,0.931,0.931,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
1602,1602,0.002,0.008,0.016,0.006,0.012,0.013,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.008,0.002,0.002,0.032,0.002,0.010,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.090,0.008,0.009,0.006,0.011,0.092,0.061,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.008,0.016,0.006,0.012,0.013,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.008,0.002,0.002,0.032,0.002,0.010,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.090,0.008,0.009,0.006,0.011,0.092,0.061,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
1603,1603,0.996,0.996,0.996,0.878,0.878,0.996,0.996,0.996,0.854,0.796,0.996,0.996,0.916,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.916,0.996,0.996,0.878,0.996,0.996,0.996,0.996,0.888,0.916,0.878,0.996,0.996,0.996,0.996,0.853,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.888,0.888,0.996,0.888,0.888,0.888,0.888,0.996,0.888,0.888,0.996,0.888,0.888,0.888,0.996,0.996,0.878,0.878,0.996,0.996,0.996,0.854,0.796,0.996,0.996,0.916,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.916,0.996,0.996,0.878,0.996,0.996,0.996,0.996,0.888,0.916,0.878,0.996,0.996,0.996,0.996,0.853,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.888,0.888,0.996,0.888,0.888,0.888,0.888,0.996,0.888,0.888,0.996,0.888,0.888,0.888
1604,1604,0.947,0.947,0.888,0.947,0.880,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.919,0.919,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.919,0.919,0.947,0.919,0.947,0.947,0.947,0.947,0.919,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.888,0.947,0.880,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.919,0.919,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.919,0.919,0.947,0.919,0.947,0.947,0.947,0.947,0.919,0.919,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947
1605,1605,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.004,0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.004,0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1606,1606,0.963,0.963,0.963,0.765,0.911,0.963,0.963,0.963,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.765,0.963,0.920,0.963,0.963,0.911,0.963,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.765,0.911,0.963,0.963,0.963,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.765,0.963,0.920,0.963,0.963,0.911,0.963,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.963,0.963,0.963,0.963,0.963,0.963,0.963
1607,1607,0.000,0.002,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.002,0.000,0.002,0.001,0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.002,0.000,0.002,0.001,0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1608,1608,0.997,0.997,0.997,0.997,0.920,0.997,0.997,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.914,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.914,0.914,0.997,0.997,0.914,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.914,0.997,0.997,0.997,0.997,0.920,0.997,0.997,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.914,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.914,0.914,0.997,0.997,0.914,0.997,0.914,0.997,0.997,0.997,0.997,0.997,0.914,0.997
1609,1609,0.992,0.992,0.920,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.882,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.920,0.917,0.992,0.917,0.992,0.920,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.920,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.882,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.920,0.917,0.992,0.917,0.992,0.920,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.917,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992
1610,1610,0.955,0.955,0.802,0.802,0.814,0.955,0.955,0.773,0.955,0.955,0.732,0.955,0.955,0.955,0.465,0.955,0.465,0.955,0.955,0.955,0.955,0.955,0.955,0.808,0.465,0.837,0.955,0.955,0.808,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.837,0.955,0.955,0.955,0.955,0.914,0.955,0.955,0.955,0.955,0.837,0.837,0.955,0.955,0.955,0.800,0.955,0.802,0.802,0.814,0.955,0.955,0.773,0.955,0.955,0.732,0.955,0.955,0.955,0.465,0.955,0.465,0.955,0.955,0.955,0.955,0.955,0.955,0.808,0.465,0.837,0.955,0.955,0.808,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.837,0.955,0.955,0.955,0.955,0.914,0.955,0.955,0.955,0.955,0.837,0.837,0.955,0.955,0.955,0.800
1611,1611,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.949,0.997,0.997,0.949,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.949,0.997,0.997,0.949,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.949,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
1612,1612,0.951,0.951,0.900,0.951,0.811,0.853,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.853,0.853,0.907,0.951,0.790,0.951,0.951,0.853,0.951,0.811,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.853,0.853,0.853,0.853,0.951,0.951,0.951,0.907,0.853,0.853,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.900,0.951,0.811,0.853,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.853,0.853,0.907,0.951,0.790,0.951,0.951,0.853,0.951,0.811,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.853,0.853,0.853,0.853,0.951,0.951,0.951,0.907,0.853,0.853,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
1613,1613,0.004,0.025,0.025,0.014,0.013,0.025,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.030,0.003,0.005,0.017,0.004,0.004,0.077,0.004,0.014,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.027,0.029,0.004,0.091,0.015,0.004,0.077,0.013,0.091,0.091,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.025,0.025,0.014,0.013,0.025,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.030,0.003,0.005,0.017,0.004,0.004,0.077,0.004,0.014,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.027,0.029,0.004,0.091,0.015,0.004,0.077,0.013,0.091,0.091,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
1614,1614,0.001,0.005,0.006,0.012,0.018,0.024,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.013,0.001,0.012,0.001,0.001,0.021,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.037,0.016,0.006,0.005,0.017,0.037,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.006,0.012,0.018,0.024,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.013,0.001,0.012,0.001,0.001,0.021,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.037,0.016,0.006,0.005,0.017,0.037,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1615,1615,0.003,0.003,0.008,0.002,0.019,0.012,0.003,0.003,0.009,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.015,0.005,0.003,0.011,0.003,0.003,0.029,0.003,0.028,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.014,0.011,0.003,0.036,0.003,0.003,0.026,0.012,0.036,0.011,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.008,0.002,0.019,0.012,0.003,0.003,0.009,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.015,0.005,0.003,0.011,0.003,0.003,0.029,0.003,0.028,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.014,0.011,0.003,0.036,0.003,0.003,0.026,0.012,0.036,0.011,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003
1616,1616,0.936,0.936,0.894,0.869,0.880,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.908,0.908,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.908,0.908,0.898,0.908,0.936,0.936,0.936,0.936,0.908,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.894,0.869,0.880,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.908,0.908,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.908,0.908,0.898,0.908,0.936,0.936,0.936,0.936,0.908,0.908,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936
1617,1617,0.982,0.982,0.982,0.892,0.892,0.982,0.982,0.982,0.884,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.892,0.982,0.884,0.982,0.982,0.884,0.982,0.892,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.884,0.982,0.884,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.892,0.892,0.982,0.982,0.982,0.884,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.892,0.982,0.884,0.982,0.982,0.884,0.982,0.892,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.884,0.982,0.884,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
1618,1618,0.941,0.941,0.941,0.827,0.827,0.797,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.828,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.827,0.827,0.941,0.881,0.941,0.794,0.881,0.941,0.827,0.828,0.794,0.828,0.941,0.941,0.941,0.794,0.941,0.941,0.941,0.941,0.872,0.941,0.879,0.881,0.941,0.941,0.881,0.881,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.881,0.941,0.941,0.941,0.941,0.827,0.827,0.797,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.828,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.827,0.827,0.941,0.881,0.941,0.794,0.881,0.941,0.827,0.828,0.794,0.828,0.941,0.941,0.941,0.794,0.941,0.941,0.941,0.941,0.872,0.941,0.879,0.881,0.941,0.941,0.881,0.881,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.881,0.941,0.941
1619,1619,0.990,0.990,0.990,0.990,0.990,0.910,0.990,0.990,0.813,0.990,0.990,0.990,0.990,0.990,0.904,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.847,0.990,0.915,0.918,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.910,0.990,0.990,0.813,0.990,0.990,0.990,0.990,0.990,0.904,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.847,0.990,0.915,0.918,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990
1620,1620,0.949,0.949,0.949,0.870,0.870,0.888,0.949,0.949,0.851,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.888,0.888,0.870,0.949,0.949,0.949,0.949,0.949,0.949,0.870,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.888,0.888,0.949,0.888,0.949,0.888,0.888,0.949,0.888,0.888,0.949,0.888,0.888,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.870,0.870,0.888,0.949,0.949,0.851,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.888,0.888,0.870,0.949,0.949,0.949,0.949,0.949,0.949,0.870,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.888,0.888,0.949,0.888,0.949,0.888,0.888,0.949,0.888,0.888,0.949,0.888,0.888,0.949,0.949,0.949,0.949,0.949,0.949,0.949
1621,1621,0.989,0.989,0.989,0.894,0.894,0.938,0.989,0.989,0.895,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.894,0.894,0.989,0.989,0.989,0.989,0.894,0.989,0.894,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.894,0.894,0.894,0.894,0.989,0.989,0.989,0.989,0.894,0.894,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.894,0.894,0.938,0.989,0.989,0.895,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.894,0.894,0.989,0.989,0.989,0.989,0.894,0.989,0.894,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.894,0.894,0.894,0.894,0.989,0.989,0.989,0.989,0.894,0.894,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989
1622,1622,0.771,0.771,0.771,0.771,0.875,0.771,0.771,0.771,0.911,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.931,0.771,0.771,0.771,0.771,0.771,0.911,0.897,0.832,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.911,0.911,0.771,0.911,0.911,0.870,0.911,0.771,0.771,0.911,0.911,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.875,0.771,0.771,0.771,0.911,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.931,0.771,0.771,0.771,0.771,0.771,0.911,0.897,0.832,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.911,0.911,0.771,0.911,0.911,0.870,0.911,0.771,0.771,0.911,0.911,0.771,0.771,0.771,0.771,0.771,0.771,0.771
1623,1623,0.970,0.970,0.891,0.970,0.970,0.970,0.995,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.933,0.970,0.970,0.970,0.970,0.970,0.768,0.970,0.970,0.930,0.930,0.970,0.970,0.930,0.970,0.970,0.930,0.970,0.930,0.932,0.970,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.930,0.970,0.891,0.970,0.970,0.970,0.995,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.933,0.970,0.970,0.970,0.970,0.970,0.768,0.970,0.970,0.930,0.930,0.970,0.970,0.930,0.970,0.970,0.930,0.970,0.930,0.932,0.970,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.970,0.930,0.970,0.970,0.970,0.930
1624,1624,0.006,0.025,0.026,0.081,0.086,0.123,0.006,0.006,0.023,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.068,0.185,0.060,0.006,0.053,0.007,0.006,0.143,0.018,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.069,0.184,0.127,0.159,0.070,0.007,0.143,0.124,0.184,0.150,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.025,0.026,0.081,0.086,0.123,0.006,0.006,0.023,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.068,0.185,0.060,0.006,0.053,0.007,0.006,0.143,0.018,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.069,0.184,0.127,0.159,0.070,0.007,0.143,0.124,0.184,0.150,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
