,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
890,890,0.447,0.447,0.447,0.330,0.447,0.447,0.447,0.447,0.447,0.447,0.306,0.447,0.447,0.447,0.400,0.257,0.447,0.400,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.348,0.447,0.447,0.447
891,891,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.560,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689
892,892,0.292,0.292,0.292,0.590,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.342,0.425,0.662,0.292,0.580,0.292,0.292,0.292,0.292,0.342,0.441,0.292,0.292,0.292,0.594,0.274,0.292,0.342,0.253,0.292
893,893,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
894,894,0.259,0.229,0.259,0.556,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.229,0.259,0.303,0.259,0.649,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.381,0.259,0.430,0.259,0.259,0.259,0.259
895,895,0.111,0.124,0.111,0.338,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.128,0.285,0.225,0.111,0.390,0.111,0.111,0.111,0.111,0.111,0.125,0.111,0.143,0.124,0.111,0.111,0.130,0.111,0.123,0.111
896,896,0.146,0.121,0.146,0.507,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.171,0.234,0.331,0.146,0.636,0.146,0.146,0.146,0.146,0.179,0.316,0.146,0.146,0.268,0.146,0.146,0.284,0.179,0.146,0.146
897,897,0.584,0.584,0.584,0.436,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.409,0.436,0.584,0.409,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.669,0.584,0.584,0.584,0.584,0.584,0.584,0.584
898,898,0.207,0.207,0.207,0.586,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.195,0.257,0.159,0.207,0.476,0.207,0.207,0.207,0.207,0.181,0.384,0.177,0.215,0.207,0.207,0.207,0.207,0.181,0.132,0.207
899,899,0.330,0.330,0.330,0.524,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.330,0.196,0.309,0.345,0.330,0.524,0.330,0.330,0.330,0.330,0.555,0.309,0.256,0.330,0.330,0.330,0.330,0.330,0.309,0.330,0.330
900,900,0.203,0.203,0.203,0.203,0.203,0.204,0.203,0.203,0.150,0.203,0.352,0.203,0.203,0.144,0.258,0.296,0.203,0.180,0.203,0.203,0.203,0.203,0.203,0.379,0.203,0.235,0.379,0.203,0.379,0.203,0.173,0.203,0.203
901,901,0.266,0.266,0.266,0.579,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.276,0.218,0.229,0.266,0.349,0.266,0.266,0.266,0.266,0.357,0.276,0.266,0.340,0.266,0.266,0.266,0.266,0.357,0.216,0.266
902,902,0.703,0.703,0.703,0.582,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.667,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703
903,903,0.642,0.642,0.642,0.509,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.490,0.642,0.642,0.642,0.397,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642
904,904,0.213,0.139,0.172,0.565,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.215,0.444,0.352,0.213,0.574,0.213,0.213,0.213,0.213,0.178,0.214,0.213,0.213,0.218,0.167,0.213,0.185,0.173,0.212,0.213
905,905,0.314,0.286,0.314,0.314,0.314,0.314,0.314,0.232,0.270,0.314,0.200,0.314,0.314,0.286,0.314,0.314,0.314,0.279,0.314,0.314,0.314,0.314,0.314,0.274,0.278,0.380,0.272,0.314,0.274,0.314,0.274,0.314,0.314
906,906,0.197,0.186,0.197,0.582,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.198,0.309,0.277,0.197,0.560,0.197,0.197,0.197,0.197,0.377,0.216,0.227,0.197,0.198,0.197,0.220,0.197,0.216,0.310,0.197
907,907,0.533,0.532,0.533,0.646,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.533,0.398,0.533,0.533,0.533,0.667,0.533,0.533,0.533,0.533,0.646,0.667,0.533,0.533,0.533,0.533,0.533,0.533,0.646,0.533,0.533
908,908,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
909,909,0.353,0.353,0.353,0.530,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.530,0.255,0.353,0.530,0.353,0.353,0.353,0.353,0.216,0.353,0.518,0.196,0.353,0.353,0.353,0.353,0.353,0.528,0.353
910,910,0.136,0.139,0.136,0.614,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.150,0.625,0.136,0.642,0.136,0.136,0.136,0.136,0.310,0.134,0.136,0.193,0.131,0.252,0.177,0.533,0.136,0.240,0.136
911,911,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745
912,912,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791
913,913,0.229,0.229,0.154,0.540,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.416,0.295,0.229,0.514,0.229,0.229,0.229,0.229,0.154,0.229,0.154,0.160,0.229,0.165,0.158,0.163,0.229,0.160,0.229
914,914,0.705,0.705,0.705,0.690,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.610,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705
915,915,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793
916,916,0.161,0.165,0.161,0.485,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.408,0.227,0.458,0.161,0.503,0.161,0.161,0.161,0.161,0.385,0.384,0.161,0.287,0.391,0.161,0.292,0.346,0.385,0.385,0.161
917,917,0.099,0.108,0.099,0.240,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.109,0.145,0.179,0.099,0.415,0.099,0.099,0.099,0.099,0.252,0.104,0.104,0.112,0.117,0.098,0.105,0.103,0.113,0.113,0.099
918,918,0.401,0.401,0.401,0.564,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.500,0.564,0.401,0.500,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.364,0.401,0.401,0.401,0.401,0.401
919,919,0.183,0.154,0.183,0.612,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.121,0.208,0.239,0.183,0.641,0.183,0.183,0.183,0.183,0.443,0.120,0.254,0.244,0.125,0.142,0.143,0.147,0.641,0.371,0.183
920,920,0.173,0.173,0.173,0.490,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.307,0.349,0.173,0.310,0.173,0.173,0.173,0.173,0.109,0.096,0.106,0.105,0.173,0.100,0.102,0.118,0.173,0.104,0.173
921,921,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.565,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668
922,922,0.305,0.305,0.305,0.656,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.563,0.541,0.305,0.658,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.451,0.305,0.305,0.375,0.347,0.305,0.563,0.305
923,923,0.442,0.442,0.442,0.495,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.427,0.662,0.442,0.427,0.442,0.442,0.442,0.442,0.265,0.442,0.292,0.662,0.442,0.442,0.265,0.442,0.442,0.265,0.442
924,924,0.064,0.064,0.064,0.064,0.064,0.058,0.054,0.064,0.053,0.064,0.184,0.064,0.064,0.062,0.068,0.064,0.048,0.052,0.064,0.048,0.049,0.047,0.051,0.067,0.061,0.055,0.066,0.050,0.056,0.057,0.059,0.064,0.064
925,925,0.296,0.296,0.296,0.546,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.546,0.296,0.225,0.296,0.546,0.296,0.296,0.296,0.296,0.349,0.528,0.296,0.296,0.285,0.296,0.296,0.296,0.349,0.296,0.296
926,926,0.226,0.226,0.226,0.548,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.164,0.226,0.335,0.226,0.451,0.226,0.226,0.226,0.226,0.398,0.275,0.226,0.226,0.159,0.226,0.226,0.226,0.275,0.226,0.226
927,927,0.561,0.561,0.561,0.568,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.667,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.518,0.561,0.561,0.561,0.561,0.561,0.561,0.561
928,928,0.198,0.187,0.198,0.588,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.201,0.284,0.198,0.198,0.600,0.198,0.198,0.198,0.198,0.581,0.195,0.247,0.198,0.173,0.198,0.253,0.198,0.195,0.247,0.198
929,929,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751
930,930,0.237,0.255,0.237,0.392,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.255,0.435,0.630,0.237,0.441,0.237,0.237,0.237,0.237,0.237,0.333,0.237,0.630,0.313,0.217,0.237,0.147,0.237,0.281,0.237
931,931,0.171,0.171,0.171,0.158,0.171,0.173,0.171,0.171,0.171,0.171,0.294,0.171,0.171,0.134,0.136,0.188,0.171,0.257,0.171,0.171,0.165,0.165,0.117,0.230,0.171,0.159,0.136,0.145,0.187,0.162,0.128,0.171,0.171
932,932,0.169,0.110,0.113,0.465,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.232,0.200,0.186,0.169,0.421,0.169,0.169,0.169,0.169,0.204,0.134,0.172,0.139,0.169,0.162,0.169,0.125,0.186,0.191,0.169
933,933,0.608,0.608,0.608,0.620,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.611,0.655,0.608,0.611,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
934,934,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
935,935,0.649,0.649,0.649,0.672,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.672,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.672,0.649,0.649,0.649,0.649,0.649,0.649,0.649
936,936,0.208,0.208,0.208,0.563,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.152,0.221,0.207,0.208,0.427,0.208,0.208,0.208,0.208,0.475,0.152,0.179,0.186,0.208,0.208,0.139,0.208,0.141,0.185,0.208
937,937,0.123,0.109,0.123,0.282,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.140,0.524,0.184,0.123,0.494,0.123,0.123,0.123,0.123,0.216,0.319,0.122,0.123,0.152,0.134,0.124,0.114,0.156,0.134,0.123
938,938,0.171,0.180,0.171,0.201,0.171,0.152,0.171,0.172,0.171,0.171,0.232,0.171,0.171,0.203,0.360,0.160,0.171,0.205,0.171,0.171,0.171,0.171,0.171,0.192,0.185,0.195,0.234,0.171,0.197,0.190,0.192,0.171,0.171
939,939,0.510,0.510,0.510,0.485,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.423,0.662,0.510,0.423,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.268,0.510,0.536,0.510,0.510,0.510,0.267,0.510
940,940,0.527,0.527,0.527,0.669,0.527,0.527,0.527,0.527,0.527,0.527,0.527,0.527,0.527,0.527,0.669,0.527,0.527,0.669,0.527,0.527,0.527,0.527,0.669,0.527,0.669,0.527,0.527,0.527,0.400,0.527,0.527,0.669,0.527
941,941,0.199,0.170,0.192,0.653,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.267,0.346,0.656,0.199,0.656,0.199,0.199,0.199,0.199,0.284,0.338,0.199,0.199,0.379,0.333,0.389,0.213,0.209,0.199,0.199
942,942,0.127,0.122,0.130,0.454,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.140,0.358,0.340,0.127,0.620,0.127,0.127,0.127,0.127,0.195,0.140,0.134,0.357,0.140,0.159,0.127,0.134,0.144,0.213,0.127
943,943,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
944,944,0.299,0.299,0.299,0.657,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.662,0.182,0.299,0.662,0.299,0.299,0.299,0.299,0.278,0.299,0.380,0.253,0.299,0.285,0.285,0.285,0.299,0.352,0.299
945,945,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.581,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717
946,946,0.198,0.170,0.198,0.601,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.502,0.472,0.221,0.198,0.502,0.198,0.198,0.198,0.198,0.476,0.453,0.198,0.198,0.502,0.343,0.198,0.198,0.476,0.198,0.198
947,947,0.364,0.406,0.364,0.646,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.501,0.381,0.441,0.364,0.644,0.364,0.364,0.364,0.364,0.364,0.499,0.364,0.364,0.364,0.364,0.364,0.357,0.364,0.364,0.364
948,948,0.203,0.154,0.203,0.590,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.249,0.362,0.237,0.203,0.553,0.203,0.203,0.203,0.203,0.241,0.241,0.192,0.208,0.222,0.203,0.203,0.203,0.227,0.197,0.203
949,949,0.289,0.289,0.289,0.362,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.258,0.630,0.289,0.258,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.325,0.289,0.273,0.289,0.288,0.289,0.217,0.289
950,950,0.567,0.363,0.567,0.631,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.666,0.643,0.567,0.567,0.666,0.567,0.567,0.567,0.567,0.666,0.666,0.567,0.567,0.666,0.567,0.567,0.567,0.666,0.567,0.567
951,951,0.795,0.817,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.817,0.795,0.795,0.795,0.817,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
952,952,0.403,0.403,0.403,0.667,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.667,0.224,0.403,0.667,0.403,0.403,0.403,0.403,0.336,0.403,0.311,0.667,0.403,0.403,0.403,0.403,0.403,0.403,0.403
953,953,0.161,0.104,0.161,0.538,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.298,0.188,0.454,0.161,0.462,0.161,0.161,0.161,0.161,0.191,0.189,0.161,0.244,0.246,0.161,0.161,0.161,0.196,0.161,0.161
954,954,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768
955,955,0.090,0.091,0.090,0.107,0.090,0.091,0.090,0.089,0.090,0.090,0.125,0.090,0.090,0.091,0.126,0.094,0.090,0.147,0.090,0.090,0.090,0.086,0.110,0.090,0.139,0.129,0.093,0.090,0.104,0.109,0.093,0.090,0.090
956,956,0.563,0.563,0.563,0.457,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.661,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.661,0.563,0.563,0.563,0.563,0.563,0.563,0.563
957,957,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
958,958,0.138,0.138,0.138,0.414,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.160,0.277,0.252,0.138,0.434,0.138,0.138,0.138,0.138,0.207,0.166,0.138,0.138,0.134,0.130,0.165,0.155,0.156,0.138,0.138
959,959,0.525,0.525,0.525,0.474,0.525,0.339,0.525,0.525,0.525,0.525,0.340,0.525,0.525,0.525,0.336,0.490,0.525,0.336,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525
960,960,0.290,0.290,0.290,0.660,0.290,0.290,0.290,0.290,0.290,0.290,0.290,0.290,0.290,0.167,0.359,0.377,0.290,0.660,0.290,0.290,0.290,0.290,0.274,0.223,0.272,0.358,0.167,0.290,0.290,0.290,0.223,0.358,0.290
961,961,0.208,0.151,0.174,0.637,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.301,0.215,0.629,0.208,0.647,0.208,0.208,0.208,0.208,0.317,0.301,0.207,0.301,0.301,0.196,0.391,0.205,0.204,0.296,0.208
962,962,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.545,0.802,0.802,0.545,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802,0.802
963,963,0.152,0.152,0.152,0.636,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.636,0.143,0.152,0.636,0.152,0.152,0.152,0.152,0.183,0.152,0.362,0.170,0.152,0.120,0.127,0.144,0.152,0.364,0.152
964,964,0.332,0.333,0.332,0.657,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.280,0.636,0.195,0.332,0.657,0.332,0.332,0.332,0.332,0.332,0.332,0.291,0.657,0.332,0.332,0.332,0.332,0.332,0.332,0.332
965,965,0.665,0.665,0.665,0.672,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.672,0.665,0.665,0.672,0.665,0.665,0.665,0.665,0.672,0.665,0.672,0.665,0.665,0.665,0.665,0.665,0.665,0.672,0.665
966,966,0.218,0.175,0.218,0.580,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.444,0.333,0.399,0.218,0.341,0.218,0.218,0.218,0.218,0.218,0.435,0.513,0.344,0.217,0.218,0.218,0.218,0.270,0.258,0.218
967,967,0.626,0.626,0.626,0.575,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.595,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.575,0.626,0.626,0.626,0.626,0.626,0.626,0.626
968,968,0.093,0.090,0.093,0.581,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.101,0.366,0.138,0.093,0.528,0.093,0.093,0.093,0.093,0.170,0.097,0.115,0.112,0.099,0.093,0.130,0.096,0.093,0.382,0.093
969,969,0.366,0.366,0.366,0.549,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.659,0.222,0.366,0.659,0.366,0.366,0.366,0.366,0.340,0.366,0.371,0.255,0.366,0.366,0.173,0.366,0.366,0.340,0.366
970,970,0.664,0.664,0.664,0.671,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.671,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664
971,971,0.419,0.435,0.419,0.609,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.486,0.376,0.525,0.419,0.505,0.419,0.419,0.419,0.419,0.419,0.435,0.419,0.419,0.435,0.419,0.419,0.419,0.419,0.419,0.419
972,972,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.568,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698
973,973,0.094,0.088,0.094,0.372,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.097,0.263,0.099,0.094,0.557,0.094,0.094,0.094,0.094,0.157,0.094,0.100,0.094,0.091,0.078,0.092,0.089,0.090,0.095,0.094
974,974,0.490,0.512,0.490,0.508,0.490,0.490,0.490,0.490,0.490,0.490,0.490,0.490,0.490,0.559,0.490,0.360,0.490,0.559,0.490,0.490,0.490,0.490,0.490,0.490,0.490,0.490,0.559,0.490,0.490,0.490,0.495,0.490,0.490
975,975,0.173,0.168,0.173,0.626,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.214,0.626,0.323,0.173,0.646,0.173,0.173,0.173,0.173,0.297,0.199,0.187,0.622,0.141,0.147,0.141,0.135,0.167,0.161,0.173
976,976,0.226,0.229,0.226,0.659,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.196,0.170,0.377,0.226,0.420,0.226,0.226,0.226,0.226,0.304,0.304,0.226,0.406,0.226,0.226,0.234,0.226,0.313,0.226,0.226
977,977,0.297,0.297,0.297,0.663,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.125,0.345,0.330,0.297,0.663,0.297,0.297,0.297,0.297,0.336,0.195,0.192,0.345,0.297,0.297,0.297,0.297,0.195,0.297,0.297
978,978,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.383,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.295,0.386,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.386,0.692,0.692,0.692
979,979,0.245,0.255,0.245,0.505,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.247,0.550,0.640,0.245,0.654,0.245,0.245,0.245,0.245,0.245,0.250,0.423,0.550,0.241,0.245,0.245,0.250,0.245,0.440,0.245
980,980,0.805,0.821,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.821,0.805,0.805,0.805,0.821,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805
981,981,0.553,0.553,0.553,0.623,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.623,0.664,0.553,0.591,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553
982,982,0.811,0.818,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.818,0.811,0.811,0.811,0.818,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
983,983,0.193,0.189,0.193,0.306,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.294,0.121,0.193,0.528,0.193,0.193,0.193,0.193,0.129,0.123,0.164,0.161,0.121,0.115,0.124,0.160,0.193,0.119,0.193
984,984,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
985,985,0.501,0.358,0.501,0.653,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.668,0.655,0.501,0.501,0.668,0.501,0.501,0.501,0.501,0.668,0.668,0.501,0.501,0.668,0.501,0.626,0.501,0.668,0.501,0.501
986,986,0.800,0.818,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.818,0.800,0.800,0.800,0.818,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800
987,987,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.358,0.343,0.647,0.647,0.338,0.647,0.647,0.647,0.647,0.647,0.467,0.442,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.385,0.647,0.647,0.647
988,988,0.363,0.363,0.363,0.264,0.363,0.167,0.363,0.363,0.236,0.363,0.314,0.363,0.363,0.193,0.364,0.363,0.363,0.211,0.363,0.363,0.363,0.363,0.363,0.369,0.363,0.363,0.376,0.363,0.363,0.363,0.363,0.363,0.363
989,989,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821
990,990,0.505,0.505,0.505,0.538,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.458,0.603,0.505,0.458,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505
991,991,0.194,0.115,0.194,0.418,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.364,0.223,0.269,0.194,0.504,0.194,0.194,0.194,0.194,0.209,0.191,0.194,0.194,0.371,0.194,0.194,0.194,0.202,0.194,0.194
