,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36
4010,4010,0.059,0.059,0.118,0.059,0.059,0.059,0.059,0.027,0.059,0.059,0.059,0.059,0.027,0.059,0.059,0.059,0.059,0.059,0.059,0.501,0.059,0.059,0.059,0.059,0.501,0.038,0.501,0.266,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.266,0.059,0.059
4011,4011,0.921,0.114,0.918,0.804,0.114,0.922,0.359,0.912,0.921,0.921,0.921,0.921,0.912,0.921,0.728,0.921,0.921,0.728,0.921,0.728,0.921,0.921,0.921,0.921,0.921,0.921,0.728,0.918,0.728,0.728,0.921,0.728,0.921,0.921,0.921,0.921,0.728,0.728
4012,4012,0.822,0.173,0.905,0.822,0.173,0.822,0.929,0.932,0.822,0.822,0.822,0.822,0.932,0.822,0.231,0.822,0.822,0.231,0.822,0.231,0.822,0.822,0.822,0.822,0.822,0.822,0.231,0.929,0.068,0.173,0.822,0.068,0.822,0.822,0.822,0.822,0.822,0.068
4013,4013,0.961,0.961,0.961,0.425,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.596,0.596,0.961,0.961,0.961,0.961,0.961,0.961,0.596,0.513,0.961,0.308,0.961,0.596,0.961,0.961,0.425,0.961,0.380,0.596
4014,4014,0.075,0.027,0.083,0.075,0.027,0.075,0.085,0.074,0.032,0.230,0.032,0.189,0.074,0.075,0.027,0.085,0.075,0.027,0.075,0.120,0.032,0.376,0.112,0.075,0.063,0.168,0.120,0.075,0.085,0.066,0.075,0.096,0.199,0.032,0.032,0.473,0.376,0.096
4015,4015,0.408,0.337,0.325,0.408,0.337,0.408,0.059,0.502,0.408,0.408,0.408,0.408,0.502,0.408,0.337,0.408,0.408,0.337,0.408,0.337,0.408,0.408,0.408,0.059,0.408,0.408,0.337,0.325,0.408,0.408,0.408,0.522,0.408,0.408,0.408,0.408,0.408,0.522
4016,4016,0.918,0.851,0.811,0.851,0.770,0.918,0.075,0.898,0.918,0.918,0.918,0.918,0.898,0.053,0.918,0.963,0.918,0.918,0.918,0.053,0.918,0.918,0.918,0.053,0.918,0.918,0.053,0.947,0.963,0.373,0.963,0.963,0.918,0.918,0.918,0.918,0.918,0.963
4017,4017,0.879,0.230,0.481,0.900,0.230,0.879,0.879,0.859,0.879,0.879,0.879,0.879,0.859,0.879,0.691,0.840,0.879,0.691,0.879,0.762,0.879,0.879,0.879,0.879,0.879,0.877,0.762,0.828,0.830,0.643,0.830,0.830,0.879,0.879,0.879,0.879,0.551,0.830
4018,4018,0.895,0.895,0.896,0.895,0.895,0.895,0.897,0.897,0.895,0.895,0.895,0.895,0.897,0.895,0.895,0.961,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.903,0.895,0.896,0.961,0.895,0.895,0.961,0.895,0.895,0.895,0.927,0.895,0.961
4019,4019,0.092,0.274,0.082,0.092,0.342,0.092,0.092,0.088,0.092,0.092,0.092,0.092,0.088,0.092,0.148,0.092,0.092,0.148,0.092,0.069,0.092,0.092,0.092,0.092,0.069,0.070,0.069,0.342,0.092,0.092,0.092,0.055,0.148,0.342,0.148,0.292,0.092,0.055
4020,4020,0.314,0.467,0.704,0.491,0.491,0.314,0.757,0.263,0.314,0.314,0.314,0.314,0.263,0.314,0.194,0.770,0.314,0.194,0.314,0.208,0.014,0.314,0.314,0.314,0.314,0.314,0.208,0.553,0.314,0.030,0.314,0.314,0.314,0.314,0.314,0.559,0.559,0.314
4021,4021,0.040,0.040,0.042,0.040,0.040,0.040,0.040,0.042,0.040,0.040,0.040,0.040,0.042,0.040,0.040,0.040,0.040,0.040,0.040,0.059,0.068,0.040,0.040,0.040,0.056,0.195,0.059,0.040,0.040,0.040,0.040,0.040,0.071,0.024,0.040,0.294,0.040,0.040
4022,4022,0.250,0.250,0.134,0.250,0.250,0.250,0.217,0.134,0.250,0.380,0.250,0.871,0.134,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.871,0.250,0.250,0.250,0.717,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.871,0.250,0.871,0.871,0.250
4023,4023,0.253,0.654,0.257,0.654,0.654,0.253,0.505,0.251,0.253,0.253,0.253,0.253,0.251,0.253,0.253,0.397,0.253,0.253,0.253,0.212,0.253,0.253,0.397,0.253,0.212,0.191,0.212,0.244,0.278,0.253,0.397,0.158,0.212,0.268,0.212,0.253,0.253,0.158
4024,4024,0.744,0.744,0.691,0.744,0.744,0.744,0.932,0.691,0.744,0.393,0.744,0.744,0.691,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.665,0.975,0.744,0.744,0.975,0.744,0.744,0.744,0.975,0.744,0.975
4025,4025,0.206,0.206,0.239,0.206,0.206,0.206,0.203,0.239,0.206,0.206,0.206,0.206,0.239,0.206,0.206,0.206,0.206,0.206,0.206,0.131,0.206,0.206,0.206,0.206,0.131,0.182,0.131,0.495,0.206,0.206,0.206,0.131,0.313,0.206,0.131,0.206,0.206,0.131
4026,4026,0.366,0.879,0.431,0.879,0.879,0.366,0.407,0.418,0.366,0.366,0.366,0.366,0.418,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.680,0.366,0.366,0.366,0.366,0.366,0.879,0.366,0.973,0.879,0.366
4027,4027,0.202,0.104,0.240,0.202,0.104,0.202,0.202,0.286,0.202,0.646,0.202,0.202,0.286,0.202,0.070,0.202,0.202,0.070,0.202,0.113,0.170,0.202,0.202,0.202,0.202,0.239,0.113,0.312,0.060,0.060,0.202,0.060,0.243,0.511,0.202,0.387,0.158,0.060
4028,4028,0.908,0.354,0.923,0.908,0.354,0.908,0.919,0.829,0.908,0.948,0.908,0.908,0.829,0.908,0.324,0.919,0.908,0.354,0.908,0.324,0.908,0.908,0.908,0.908,0.908,0.908,0.324,0.977,0.203,0.354,0.908,0.203,0.908,0.354,0.908,0.864,0.908,0.203
4029,4029,0.792,0.792,0.472,0.792,0.792,0.792,0.792,0.764,0.594,0.825,0.792,0.792,0.764,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.624,0.792,0.349,0.792,0.792,0.792,0.062,0.792,0.792,0.792,0.792,0.792,0.062
4030,4030,0.500,0.523,0.520,0.444,0.608,0.318,0.508,0.454,0.500,0.492,0.500,0.224,0.454,0.500,0.147,0.474,0.500,0.390,0.500,0.482,0.500,0.224,0.500,0.500,0.488,0.335,0.482,0.528,0.195,0.472,0.376,0.490,0.495,0.325,0.495,0.575,0.505,0.490
4031,4031,0.024,0.024,0.033,0.024,0.024,0.024,0.009,0.033,0.121,0.200,0.121,0.024,0.033,0.010,0.024,0.024,0.024,0.024,0.024,0.024,0.121,0.024,0.012,0.010,0.024,0.030,0.024,0.024,0.024,0.009,0.024,0.012,0.168,0.012,0.121,0.012,0.024,0.012
4032,4032,0.570,0.318,0.469,0.570,0.318,0.570,0.434,0.431,0.453,0.597,0.570,0.605,0.431,0.570,0.341,0.693,0.914,0.126,0.570,0.341,0.447,0.264,0.570,0.570,0.570,0.597,0.341,0.551,0.431,0.426,0.183,0.667,0.570,0.570,0.570,0.862,0.677,0.667
4033,4033,0.856,0.856,0.963,0.856,0.856,0.856,0.856,0.963,0.856,0.856,0.856,0.373,0.963,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.373,0.856,0.856,0.856,0.856,0.856,0.397,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.373,0.856,0.856
4034,4034,0.009,0.009,0.007,0.009,0.009,0.009,0.009,0.007,0.009,0.062,0.009,0.091,0.007,0.009,0.009,0.009,0.009,0.009,0.009,0.014,0.009,0.091,0.009,0.009,0.014,0.018,0.014,0.009,0.009,0.009,0.009,0.009,0.084,0.331,0.009,0.091,0.091,0.009
4035,4035,0.923,0.965,0.975,0.923,0.965,0.923,0.771,0.836,0.923,0.923,0.923,0.923,0.836,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.820,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
4036,4036,0.960,0.960,0.750,0.960,0.960,0.960,0.960,0.878,0.960,0.960,0.960,0.960,0.878,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.058,0.960,0.960,0.960,0.960,0.960,0.960,0.948,0.960,0.058,0.960,0.058,0.960,0.960,0.058,0.960,0.960,0.058
4037,4037,0.129,0.082,0.143,0.129,0.082,0.129,0.129,0.134,0.052,0.230,0.052,0.129,0.134,0.129,0.042,0.113,0.129,0.093,0.129,0.099,0.212,0.129,0.052,0.047,0.075,0.106,0.099,0.129,0.167,0.089,0.129,0.031,0.212,0.052,0.081,0.212,0.083,0.031
4038,4038,0.465,0.084,0.427,0.401,0.084,0.465,0.465,0.452,0.465,0.465,0.465,0.465,0.452,0.465,0.054,0.465,0.465,0.054,0.465,0.084,0.465,0.465,0.465,0.146,0.465,0.465,0.084,0.879,0.465,0.084,0.465,0.471,0.465,0.972,0.471,0.471,0.972,0.471
4039,4039,0.415,0.415,0.495,0.025,0.415,0.415,0.415,0.329,0.422,0.634,0.422,0.415,0.329,0.415,0.415,0.415,0.415,0.415,0.025,0.025,0.422,0.415,0.422,0.415,0.415,0.696,0.025,0.415,0.415,0.086,0.415,0.141,0.138,0.422,0.422,0.041,0.415,0.141
4040,4040,0.238,0.238,0.593,0.238,0.238,0.238,0.170,0.115,0.238,0.238,0.238,0.238,0.115,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.170,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.170,0.238,0.238,0.238,0.238,0.238,0.170
4041,4041,0.945,0.443,0.811,0.816,0.562,0.945,0.913,0.893,0.945,0.945,0.945,0.945,0.893,0.453,0.675,0.889,0.945,0.440,0.945,0.325,0.945,0.945,0.945,0.453,0.945,0.945,0.325,0.857,0.344,0.759,0.945,0.344,0.945,0.945,0.945,0.945,0.945,0.344
4042,4042,0.732,0.732,0.729,0.732,0.732,0.732,0.732,0.906,0.732,0.414,0.732,0.356,0.906,0.732,0.077,0.732,0.732,0.077,0.732,0.077,0.732,0.853,0.732,0.077,0.732,0.737,0.077,0.705,0.077,0.174,0.732,0.077,0.732,0.853,0.732,0.356,0.853,0.077
4043,4043,0.906,0.906,0.908,0.063,0.906,0.906,0.906,0.851,0.906,0.906,0.063,0.906,0.851,0.081,0.760,0.906,0.906,0.760,0.906,0.793,0.906,0.906,0.906,0.906,0.906,0.906,0.793,0.906,0.906,0.906,0.906,0.727,0.906,0.906,0.906,0.906,0.906,0.727
4044,4044,0.796,0.560,0.793,0.796,0.560,0.796,0.796,0.781,0.796,0.481,0.796,0.975,0.781,0.796,0.443,0.796,0.796,0.443,0.796,0.443,0.796,0.796,0.796,0.443,0.796,0.794,0.443,0.812,0.351,0.135,0.796,0.351,0.796,0.796,0.796,0.104,0.796,0.351
4045,4045,0.242,0.076,0.344,0.242,0.076,0.242,0.242,0.035,0.949,0.242,0.242,0.418,0.035,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.070,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.163,0.242,0.242,0.070,0.242,0.242,0.163
4046,4046,0.510,0.053,0.421,0.510,0.053,0.510,0.510,0.250,0.510,0.510,0.510,0.510,0.250,0.510,0.026,0.510,0.510,0.026,0.510,0.084,0.510,0.510,0.510,0.510,0.510,0.681,0.084,0.510,0.510,0.024,0.510,0.038,0.510,0.510,0.510,0.510,0.510,0.038
4047,4047,0.126,0.057,0.171,0.078,0.177,0.126,0.127,0.115,0.126,0.126,0.126,0.126,0.115,0.126,0.112,0.167,0.126,0.112,0.126,0.177,0.126,0.126,0.126,0.126,0.171,0.174,0.177,0.298,0.081,0.163,0.130,0.093,0.156,0.156,0.192,0.181,0.187,0.093
4048,4048,0.061,0.009,0.006,0.061,0.009,0.061,0.061,0.227,0.013,0.061,0.017,0.445,0.227,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.013,0.447,0.061,0.061,0.061,0.061,0.061,0.227,0.061,0.061,0.061,0.013,0.013,0.061,0.013,0.013,0.061,0.013
4049,4049,0.084,0.084,0.069,0.084,0.084,0.084,0.161,0.086,0.084,0.146,0.084,0.084,0.086,0.084,0.084,0.161,0.084,0.084,0.084,0.122,0.084,0.084,0.084,0.084,0.122,0.087,0.122,0.389,0.090,0.084,0.084,0.113,0.131,0.078,0.083,0.067,0.084,0.113
4050,4050,0.099,0.009,0.081,0.099,0.009,0.099,0.018,0.274,0.045,0.099,0.028,0.099,0.274,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.045,0.123,0.099,0.099,0.099,0.099,0.099,0.636,0.099,0.099,0.099,0.045,0.045,0.099,0.045,0.045,0.099,0.045
4051,4051,0.219,0.219,0.182,0.219,0.219,0.219,0.137,0.158,0.219,0.219,0.219,0.219,0.158,0.015,0.219,0.219,0.219,0.219,0.219,0.203,0.219,0.219,0.219,0.015,0.219,0.219,0.203,0.219,0.219,0.219,0.219,0.015,0.219,0.219,0.219,0.137,0.219,0.015
4052,4052,0.028,0.028,0.045,0.028,0.028,0.028,0.028,0.044,0.048,0.053,0.028,0.036,0.044,0.028,0.028,0.028,0.153,0.028,0.028,0.028,0.065,0.036,0.028,0.028,0.028,0.122,0.028,0.110,0.028,0.020,0.028,0.007,0.074,0.028,0.040,0.177,0.100,0.007
4053,4053,0.036,0.304,0.520,0.036,0.603,0.036,0.026,0.201,0.036,0.036,0.036,0.036,0.201,0.026,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.026,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.026,0.036,0.036,0.036,0.201,0.036,0.026
4054,4054,0.735,0.735,0.824,0.057,0.735,0.735,0.735,0.824,0.735,0.735,0.057,0.735,0.824,0.051,0.735,0.735,0.735,0.735,0.735,0.051,0.735,0.735,0.735,0.735,0.735,0.605,0.051,0.735,0.735,0.735,0.735,0.051,0.735,0.735,0.735,0.735,0.735,0.051
4055,4055,0.030,0.030,0.029,0.030,0.082,0.030,0.112,0.028,0.030,0.030,0.030,0.030,0.028,0.030,0.030,0.030,0.030,0.030,0.030,0.082,0.030,0.030,0.030,0.122,0.030,0.017,0.082,0.030,0.030,0.060,0.030,0.009,0.051,0.030,0.030,0.030,0.051,0.009
4056,4056,0.109,0.109,0.091,0.109,0.109,0.109,0.492,0.036,0.109,0.099,0.109,0.109,0.036,0.109,0.109,0.354,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.492,0.109,0.194,0.109,0.110,0.320,0.230,0.109,0.146,0.109,0.109,0.204,0.139,0.109,0.146
4057,4057,0.125,0.125,0.410,0.125,0.125,0.125,0.125,0.380,0.125,0.227,0.125,0.798,0.380,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.004,0.078,0.125,0.125,0.125,0.353,0.125,0.085,0.125,0.125,0.125,0.125,0.125,0.078,0.125,0.078,0.798,0.125
4058,4058,0.015,0.015,0.013,0.015,0.015,0.015,0.015,0.013,0.006,0.117,0.006,0.015,0.013,0.015,0.015,0.015,0.015,0.015,0.015,0.012,0.006,0.015,0.028,0.015,0.012,0.017,0.012,0.015,0.015,0.015,0.015,0.013,0.012,0.028,0.013,0.006,0.015,0.013
4059,4059,0.381,0.381,0.369,0.381,0.381,0.381,0.381,0.369,0.036,0.031,0.100,0.381,0.369,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.036,0.381,0.381,0.381,0.381,0.761,0.381,0.381,0.381,0.381,0.381,0.036,0.036,0.408,0.036,0.752,0.381,0.036
4060,4060,0.047,0.047,0.056,0.047,0.047,0.047,0.047,0.050,0.019,0.051,0.015,0.047,0.050,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.019,0.047,0.047,0.047,0.047,0.067,0.047,0.047,0.047,0.047,0.047,0.036,0.036,0.047,0.019,0.036,0.047,0.036
4061,4061,0.074,0.074,0.097,0.074,0.074,0.074,0.074,0.097,0.074,0.074,0.074,0.074,0.097,0.074,0.074,0.074,0.074,0.074,0.074,0.077,0.074,0.074,0.074,0.074,0.077,0.071,0.077,0.074,0.074,0.074,0.074,0.067,0.071,0.067,0.067,0.074,0.074,0.067
4062,4062,0.398,0.224,0.407,0.447,0.224,0.398,0.763,0.412,0.398,0.398,0.398,0.960,0.412,0.398,0.481,0.398,0.398,0.481,0.398,0.481,0.398,0.111,0.398,0.398,0.398,0.398,0.481,0.758,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.797,0.398,0.398
4063,4063,0.636,0.636,0.680,0.636,0.636,0.636,0.636,0.673,0.636,0.082,0.636,0.871,0.673,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.185,0.636,0.636,0.636,0.636,0.636,0.871,0.636,0.636,0.636,0.846,0.636,0.871
4064,4064,0.039,0.039,0.050,0.039,0.039,0.039,0.039,0.019,0.164,0.059,0.039,0.230,0.019,0.039,0.039,0.039,0.200,0.039,0.039,0.039,0.146,0.052,0.039,0.039,0.039,0.048,0.039,0.178,0.039,0.039,0.039,0.019,0.037,0.039,0.019,0.052,0.017,0.019
4065,4065,0.973,0.973,0.975,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
4066,4066,0.790,0.044,0.928,0.326,0.044,0.790,0.790,0.796,0.790,0.790,0.790,0.790,0.796,0.790,0.161,0.790,0.790,0.161,0.790,0.161,0.790,0.790,0.790,0.790,0.790,0.790,0.161,0.885,0.790,0.140,0.790,0.790,0.790,0.790,0.790,0.790,0.386,0.790
4067,4067,0.967,0.888,0.957,0.982,0.948,0.967,0.528,0.849,0.967,0.699,0.967,0.929,0.849,0.559,0.943,0.951,0.967,0.888,0.967,0.880,0.967,0.967,0.967,0.559,0.967,0.692,0.880,0.828,0.867,0.696,0.888,0.943,0.967,0.967,0.967,0.798,0.967,0.943
4068,4068,0.246,0.043,0.345,0.177,0.062,0.246,0.107,0.374,0.246,0.246,0.246,0.246,0.374,0.246,0.043,0.246,0.246,0.043,0.246,0.043,0.246,0.246,0.246,0.278,0.246,0.246,0.043,0.790,0.048,0.048,0.246,0.087,0.064,0.099,0.214,0.170,0.064,0.087
4069,4069,0.233,0.233,0.031,0.233,0.233,0.233,0.233,0.031,0.233,0.394,0.233,0.308,0.031,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.308,0.233,0.233,0.233,0.659,0.233,0.501,0.233,0.233,0.233,0.233,0.233,0.308,0.233,0.308,0.308,0.233
4070,4070,0.068,0.395,0.115,0.395,0.395,0.068,0.068,0.245,0.068,0.068,0.068,0.068,0.245,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.137,0.068,0.537,0.068,0.037,0.068,0.068,0.068,0.068,0.068,0.515,0.068,0.068
4071,4071,0.790,0.229,0.830,0.790,0.103,0.790,0.790,0.684,0.790,0.723,0.790,0.790,0.684,0.790,0.787,0.790,0.790,0.787,0.790,0.787,0.790,0.790,0.790,0.083,0.787,0.790,0.787,0.847,0.790,0.445,0.790,0.239,0.790,0.790,0.239,0.239,0.790,0.239
4072,4072,0.014,0.014,0.016,0.014,0.014,0.014,0.014,0.015,0.028,0.013,0.017,0.129,0.015,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.022,0.129,0.051,0.014,0.014,0.021,0.014,0.129,0.006,0.027,0.014,0.032,0.038,0.051,0.018,0.045,0.008,0.032
4073,4073,0.501,0.140,0.627,0.204,0.140,0.501,0.688,0.492,0.501,0.501,0.501,0.501,0.492,0.501,0.227,0.760,0.501,0.227,0.501,0.234,0.501,0.501,0.501,0.501,0.442,0.578,0.234,0.501,0.501,0.185,0.501,0.501,0.501,0.501,0.501,0.206,0.250,0.501
4074,4074,0.841,0.841,0.850,0.841,0.841,0.841,0.850,0.850,0.841,0.841,0.841,0.928,0.850,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.987,0.841,0.841,0.841,0.841,0.841,0.860,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.963,0.841,0.841
4075,4075,0.017,0.017,0.018,0.017,0.017,0.017,0.058,0.014,0.017,0.017,0.017,0.017,0.014,0.017,0.017,0.017,0.017,0.017,0.017,0.027,0.017,0.017,0.017,0.058,0.027,0.019,0.027,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.017,0.018
4076,4076,0.875,0.234,0.904,0.875,0.234,0.875,0.875,0.897,0.875,0.875,0.875,0.875,0.897,0.875,0.466,0.875,0.875,0.466,0.875,0.466,0.875,0.875,0.875,0.875,0.875,0.870,0.466,0.875,0.875,0.466,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
4077,4077,0.118,0.069,0.126,0.132,0.069,0.118,0.118,0.119,0.190,0.135,0.118,0.395,0.119,0.118,0.118,0.118,0.118,0.118,0.118,0.132,0.397,0.118,0.118,0.118,0.118,0.112,0.132,0.121,0.118,0.118,0.118,0.319,0.104,0.065,0.397,0.408,0.191,0.319
4078,4078,0.045,0.045,0.043,0.045,0.045,0.045,0.043,0.048,0.045,0.045,0.025,0.045,0.048,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.131,0.045,0.045,0.045,0.045,0.045,0.125,0.045,0.045,0.045,0.039,0.045,0.045,0.039,0.045,0.045,0.039
4079,4079,0.078,0.105,0.098,0.078,0.105,0.078,0.136,0.079,0.142,0.042,0.142,0.078,0.079,0.078,0.106,0.120,0.078,0.106,0.078,0.118,0.133,0.078,0.093,0.078,0.062,0.251,0.118,0.078,0.190,0.084,0.078,0.092,0.275,0.124,0.084,0.150,0.084,0.092
4080,4080,0.182,0.182,0.198,0.207,0.263,0.182,0.263,0.118,0.182,0.182,0.182,0.182,0.118,0.182,0.182,0.182,0.182,0.182,0.182,0.207,0.182,0.182,0.182,0.121,0.182,0.182,0.207,0.082,0.182,0.106,0.182,0.082,0.082,0.198,0.082,0.082,0.207,0.082
4081,4081,0.860,0.153,0.761,0.860,0.153,0.860,0.558,0.789,0.860,0.860,0.860,0.860,0.789,0.860,0.165,0.643,0.860,0.433,0.860,0.165,0.860,0.860,0.860,0.860,0.860,0.703,0.165,0.860,0.141,0.224,0.860,0.141,0.860,0.433,0.860,0.850,0.860,0.141
4082,4082,0.285,0.285,0.258,0.285,0.285,0.285,0.517,0.271,0.517,0.504,0.517,0.285,0.271,0.285,0.285,0.490,0.285,0.285,0.285,0.285,0.517,0.285,0.105,0.285,0.285,0.276,0.285,0.666,0.510,0.285,0.510,0.223,0.517,0.517,0.517,0.677,0.285,0.223
4083,4083,0.941,0.941,0.941,0.941,0.941,0.982,0.939,0.946,0.941,0.941,0.941,0.941,0.946,0.941,0.941,0.972,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.981,0.972,0.941,0.972,0.972,0.941,0.941,0.941,0.941,0.941,0.972
4084,4084,0.104,0.104,0.712,0.125,0.297,0.104,0.297,0.572,0.104,0.104,0.104,0.104,0.572,0.104,0.104,0.163,0.104,0.104,0.104,0.297,0.104,0.104,0.104,0.131,0.104,0.104,0.297,0.455,0.163,0.104,0.163,0.229,0.297,0.476,0.127,0.227,0.297,0.229
4085,4085,0.835,0.835,0.822,0.835,0.835,0.835,0.835,0.954,0.835,0.835,0.835,0.981,0.954,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.953,0.835,0.835,0.835,0.835,0.835,0.822,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.954,0.835,0.835
4086,4086,0.717,0.968,0.698,0.717,0.806,0.717,0.874,0.771,0.717,0.717,0.717,0.717,0.771,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.695,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.968,0.717,0.717
4087,4087,0.138,0.138,0.090,0.161,0.138,0.138,0.290,0.090,0.138,0.511,0.138,0.164,0.090,0.138,0.138,0.138,0.111,0.138,0.138,0.076,0.138,0.138,0.138,0.138,0.076,0.101,0.076,0.138,0.138,0.111,0.111,0.094,0.138,0.138,0.138,0.138,0.138,0.094
4088,4088,0.642,0.379,0.050,0.642,0.105,0.642,0.642,0.767,0.642,0.568,0.642,0.893,0.767,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.042,0.642,0.597,0.642,0.168,0.642,0.642,0.642,0.182,0.642,0.642,0.642,0.642,0.642,0.182
4089,4089,0.923,0.903,0.844,0.967,0.903,0.923,0.728,0.937,0.923,0.923,0.923,0.923,0.937,0.923,0.373,0.941,0.923,0.649,0.923,0.373,0.923,0.923,0.923,0.923,0.923,0.923,0.373,0.964,0.773,0.626,0.707,0.773,0.923,0.649,0.923,0.923,0.534,0.773
4090,4090,0.613,0.700,0.786,0.700,0.700,0.613,0.876,0.944,0.613,0.613,0.613,0.338,0.944,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.957,0.613,0.613,0.613,0.613,0.613,0.219,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.338,0.613,0.613
4091,4091,0.018,0.010,0.112,0.018,0.008,0.018,0.018,0.032,0.217,0.018,0.217,0.105,0.032,0.018,0.018,0.018,0.018,0.251,0.018,0.251,0.217,0.018,0.217,0.018,0.018,0.005,0.251,0.018,0.018,0.018,0.018,0.010,0.217,0.010,0.018,0.018,0.010,0.010
4092,4092,0.204,0.204,0.131,0.204,0.204,0.204,0.220,0.159,0.145,0.676,0.114,0.204,0.159,0.204,0.204,0.258,0.204,0.204,0.204,0.204,0.114,0.204,0.371,0.204,0.204,0.134,0.204,0.444,0.220,0.204,0.204,0.114,0.620,0.371,0.128,0.114,0.204,0.114
4093,4093,0.725,0.129,0.750,0.725,0.129,0.725,0.429,0.877,0.725,0.725,0.725,0.725,0.877,0.725,0.120,0.665,0.725,0.120,0.725,0.134,0.725,0.725,0.725,0.725,0.725,0.725,0.134,0.725,0.336,0.323,0.725,0.336,0.725,0.725,0.725,0.763,0.754,0.336
4094,4094,0.460,0.460,0.347,0.460,0.081,0.460,0.183,0.271,0.460,0.165,0.460,0.383,0.271,0.075,0.460,0.246,0.460,0.460,0.460,0.075,0.460,0.742,0.460,0.075,0.460,0.460,0.075,0.460,0.246,0.460,0.460,0.246,0.460,0.383,0.460,0.742,0.383,0.246
4095,4095,0.134,0.134,0.164,0.134,0.134,0.134,0.134,0.164,0.134,0.134,0.134,0.134,0.164,0.134,0.134,0.134,0.134,0.134,0.134,0.155,0.134,0.134,0.134,0.134,0.155,0.128,0.155,0.370,0.134,0.134,0.134,0.174,0.101,0.119,0.174,0.134,0.134,0.174
4096,4096,0.132,0.143,0.179,0.143,0.143,0.132,0.132,0.162,0.132,0.132,0.132,0.132,0.162,0.132,0.132,0.083,0.132,0.132,0.132,0.141,0.132,0.132,0.445,0.132,0.141,0.148,0.141,0.132,0.067,0.132,0.083,0.136,0.154,0.163,0.154,0.243,0.132,0.136
