,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42
3057,3057,0.232,0.306,0.232,0.532,0.483,0.049,0.232,0.232,0.232,0.232,0.656,0.501,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.028,0.232,0.232,0.232,0.232,0.031,0.232,0.042,0.028,0.058,0.232,0.537,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.100,0.228
3058,3058,0.799,0.349,0.799,0.349,0.773,0.669,0.799,0.799,0.799,0.799,0.799,0.783,0.799,0.799,0.610,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.610,0.460,0.799,0.799,0.799,0.799,0.111,0.799,0.802,0.147,0.647
3059,3059,0.655,0.864,0.655,0.864,0.864,0.690,0.655,0.655,0.655,0.655,0.655,0.864,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.864,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.864,0.655
3060,3060,0.456,0.287,0.456,0.287,0.270,0.052,0.456,0.456,0.115,0.456,0.608,0.270,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.115,0.456,0.456,0.456,0.456,0.354,0.456,0.115,0.456,0.354,0.608,0.188,0.456,0.456,0.456,0.456,0.188,0.456,0.456,0.110,0.107
3061,3061,0.127,0.127,0.127,0.127,0.274,0.274,0.127,0.127,0.164,0.127,0.908,0.274,0.127,0.038,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.073,0.127,0.908,0.127,0.127,0.318,0.127,0.318,0.127,0.318,0.127,0.351,0.154,0.143,0.016,0.351,0.908,0.190,0.372,0.119,0.190
3062,3062,0.638,0.838,0.638,0.838,0.801,0.692,0.638,0.638,0.638,0.638,0.638,0.589,0.638,0.638,0.668,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.668,0.638,0.638,0.638,0.668,0.668,0.806,0.861,0.861,0.638,0.638,0.861,0.627,0.804,0.806,0.645
3063,3063,0.092,0.155,0.092,0.092,0.073,0.051,0.092,0.034,0.092,0.130,0.092,0.073,0.092,0.048,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.012,0.034,0.071,0.130,0.092,0.024,0.145,0.084,0.092,0.024,0.092,0.041,0.084,0.041,0.012,0.026,0.130,0.084,0.145,0.042,0.101
3064,3064,0.863,0.863,0.139,0.863,0.020,0.017,0.863,0.863,0.863,0.863,0.863,0.096,0.863,0.863,0.863,0.863,0.863,0.214,0.863,0.172,0.863,0.863,0.863,0.342,0.342,0.263,0.863,0.109,0.342,0.056,0.342,0.863,0.863,0.192,0.863,0.173,0.173,0.863,0.188,0.192,0.014,0.863,0.863,0.137
3065,3065,0.117,0.476,0.254,0.476,0.707,0.707,0.117,0.117,0.117,0.117,0.117,0.802,0.117,0.046,0.155,0.117,0.046,0.117,0.046,0.117,0.117,0.117,0.117,0.159,0.117,0.117,0.117,0.117,0.299,0.117,0.117,0.159,0.453,0.181,0.875,0.203,0.254,0.082,0.426,0.356,0.068,0.117,0.356,0.121
3066,3066,0.828,0.898,0.828,0.898,0.898,0.662,0.828,0.828,0.828,0.828,0.828,0.898,0.828,0.828,0.569,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.905,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.905,0.828,0.828
3067,3067,0.020,0.020,0.020,0.020,0.599,0.052,0.020,0.068,0.099,0.068,0.020,0.599,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.091,0.007,0.020,0.068,0.020,0.492,0.007,0.055,0.018,0.129,0.020,0.009,0.089,0.052,0.011,0.015,0.020,0.091,0.020,0.068,0.183
3068,3068,0.651,0.709,0.651,0.684,0.057,0.053,0.651,0.651,0.055,0.651,0.831,0.058,0.651,0.651,0.439,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.022,0.651,0.651,0.651,0.651,0.273,0.651,0.185,0.358,0.273,0.863,0.656,0.651,0.651,0.651,0.651,0.724,0.813,0.559,0.174,0.651
3069,3069,0.770,0.847,0.770,0.847,0.870,0.756,0.770,0.770,0.770,0.770,0.770,0.802,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.233,0.770,0.770,0.770,0.770,0.596,0.770,0.770,0.233,0.596,0.858,0.847,0.770,0.509,0.770,0.240,0.770,0.770,0.296,0.847,0.413
3070,3070,0.097,0.263,0.210,0.263,0.810,0.704,0.097,0.097,0.097,0.097,0.097,0.876,0.097,0.053,0.145,0.097,0.053,0.097,0.053,0.097,0.097,0.097,0.097,0.198,0.097,0.097,0.097,0.097,0.145,0.097,0.158,0.198,0.145,0.087,0.584,0.584,0.134,0.097,0.186,0.655,0.371,0.236,0.413,0.186
3071,3071,0.141,0.207,0.141,0.141,0.141,0.189,0.141,0.169,0.141,0.141,0.300,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.127,0.141,0.300,0.141,0.141,0.141,0.141,0.283,0.141,0.141,0.212,0.283,0.127,0.141,0.169,0.141,0.141,0.141,0.300,0.141,0.127
3072,3072,0.742,0.173,0.742,0.173,0.793,0.695,0.742,0.742,0.742,0.742,0.742,0.793,0.742,0.107,0.742,0.742,0.107,0.742,0.107,0.742,0.742,0.742,0.742,0.518,0.742,0.742,0.742,0.742,0.483,0.742,0.518,0.518,0.483,0.742,0.261,0.742,0.742,0.742,0.742,0.535,0.742,0.831,0.261,0.251
3073,3073,0.137,0.210,0.115,0.210,0.104,0.104,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.115,0.137,0.137,0.137,0.137,0.137,0.137,0.163,0.137,0.137,0.115,0.137,0.137,0.748,0.137,0.163,0.137
3074,3074,0.759,0.759,0.759,0.759,0.139,0.073,0.759,0.759,0.759,0.759,0.759,0.139,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.202,0.759,0.759,0.759,0.759,0.202,0.759,0.133,0.202,0.202,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.131,0.580
3075,3075,0.898,0.880,0.898,0.880,0.799,0.676,0.898,0.898,0.898,0.898,0.898,0.491,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.886,0.898,0.898
3076,3076,0.301,0.316,0.301,0.301,0.055,0.028,0.301,0.301,0.301,0.301,0.301,0.067,0.301,0.645,0.301,0.312,0.301,0.301,0.301,0.301,0.645,0.301,0.645,0.283,0.301,0.301,0.301,0.168,0.271,0.301,0.080,0.283,0.271,0.645,0.301,0.301,0.168,0.301,0.301,0.301,0.301,0.301,0.075,0.553
3077,3077,0.043,0.059,0.043,0.034,0.394,0.053,0.043,0.532,0.043,0.532,0.251,0.124,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.041,0.532,0.043,0.532,0.043,0.457,0.043,0.120,0.277,0.089,0.043,0.010,0.023,0.043,0.023,0.532,0.087,0.043,0.043,0.106,0.043
3078,3078,0.749,0.749,0.571,0.749,0.797,0.683,0.749,0.749,0.749,0.749,0.749,0.836,0.749,0.749,0.494,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.157,0.749,0.749,0.749,0.749,0.417,0.749,0.157,0.157,0.417,0.494,0.660,0.157,0.749,0.749,0.749,0.749,0.749,0.157,0.372,0.372
3079,3079,0.933,0.933,0.933,0.933,0.933,0.856,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.417,0.933,0.933,0.933,0.417,0.933,0.933,0.417,0.417,0.933,0.933,0.933,0.933,0.417,0.933,0.933,0.126,0.126,0.933,0.933,0.126,0.933,0.126,0.417,0.933,0.933,0.933,0.126,0.933,0.933,0.126
3080,3080,0.777,0.836,0.135,0.738,0.018,0.071,0.777,0.777,0.777,0.777,0.777,0.067,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.162,0.777,0.777,0.777,0.738,0.777,0.777,0.777,0.162,0.777,0.777,0.164,0.738,0.777,0.624,0.777,0.624,0.767,0.693,0.692,0.767,0.355,0.777,0.324,0.349
3081,3081,0.106,0.290,0.106,0.290,0.089,0.055,0.106,0.106,0.106,0.106,0.106,0.089,0.106,0.058,0.055,0.106,0.058,0.106,0.058,0.106,0.106,0.106,0.106,0.038,0.035,0.106,0.106,0.106,0.075,0.035,0.106,0.073,0.297,0.084,0.060,0.035,0.227,0.106,0.292,0.395,0.038,0.067,0.362,0.162
3082,3082,0.849,0.805,0.776,0.805,0.822,0.721,0.849,0.849,0.849,0.849,0.849,0.859,0.849,0.805,0.771,0.849,0.805,0.849,0.805,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.523,0.849,0.849,0.849,0.523,0.771,0.771,0.849,0.849,0.849,0.849,0.573,0.849,0.289,0.849,0.802
3083,3083,0.673,0.660,0.537,0.660,0.280,0.150,0.673,0.673,0.328,0.673,0.673,0.421,0.673,0.602,0.470,0.673,0.602,0.673,0.602,0.673,0.673,0.673,0.673,0.355,0.319,0.673,0.673,0.673,0.194,0.319,0.311,0.606,0.529,0.314,0.891,0.673,0.673,0.698,0.721,0.582,0.450,0.307,0.846,0.556
3084,3084,0.106,0.368,0.106,0.368,0.800,0.703,0.106,0.106,0.106,0.106,0.106,0.800,0.106,0.064,0.123,0.106,0.064,0.106,0.064,0.106,0.106,0.106,0.106,0.401,0.106,0.106,0.106,0.106,0.353,0.106,0.188,0.401,0.353,0.145,0.627,0.211,0.743,0.131,0.403,0.434,0.459,0.131,0.375,0.397
3085,3085,0.169,0.390,0.169,0.169,0.174,0.090,0.169,0.169,0.169,0.169,0.169,0.187,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.596,0.169,0.169,0.169,0.169,0.121,0.169,0.034,0.596,0.121,0.169,0.304,0.472,0.660,0.169,0.339,0.169,0.596,0.121,0.041,0.843
3086,3086,0.044,0.017,0.044,0.017,0.017,0.046,0.044,0.024,0.044,0.080,0.044,0.038,0.044,0.039,0.044,0.044,0.039,0.044,0.039,0.044,0.044,0.044,0.044,0.024,0.024,0.063,0.080,0.044,0.044,0.095,0.044,0.044,0.044,0.039,0.095,0.044,0.080,0.024,0.044,0.080,0.024,0.095,0.048,0.044
3087,3087,0.605,0.605,0.269,0.605,0.172,0.020,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.027,0.027,0.605,0.605,0.269,0.605,0.027,0.605,0.605,0.605,0.008,0.269,0.605,0.605,0.269,0.605,0.605,0.605,0.172,0.269,0.605
3088,3088,0.040,0.040,0.040,0.040,0.500,0.500,0.040,0.040,0.126,0.040,0.907,0.500,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.175,0.040,0.907,0.040,0.040,0.577,0.040,0.175,0.094,0.577,0.040,0.907,0.094,0.272,0.040,0.907,0.907,0.040,0.156,0.146,0.103
3089,3089,0.369,0.756,0.369,0.756,0.756,0.655,0.369,0.369,0.369,0.369,0.369,0.476,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.117,0.655,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.756,0.369
3090,3090,0.234,0.153,0.234,0.061,0.080,0.062,0.234,0.234,0.068,0.234,0.478,0.150,0.234,0.085,0.356,0.243,0.022,0.234,0.084,0.234,0.243,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.176,0.234,0.187,0.215,0.421,0.208,0.547,0.426,0.116,0.193,0.164,0.234,0.203,0.234,0.239,0.124
3091,3091,0.982,0.982,0.982,0.982,0.982,0.069,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.097,0.097,0.982,0.982,0.982,0.982,0.032,0.032,0.982,0.982,0.032,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
3092,3092,0.016,0.016,0.016,0.016,0.095,0.095,0.016,0.016,0.103,0.016,0.706,0.134,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.004,0.706,0.016,0.016,0.142,0.004,0.032,0.016,0.356,0.016,0.217,0.320,0.079,0.016,0.706,0.106,0.004,0.270,0.177,0.073
3093,3093,0.883,0.138,0.883,0.165,0.631,0.056,0.883,0.883,0.684,0.883,0.879,0.631,0.883,0.883,0.806,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.624,0.883,0.371,0.883,0.624,0.806,0.883,0.883,0.883,0.883,0.883,0.559,0.915,0.770,0.243,0.468
3094,3094,0.031,0.031,0.031,0.031,0.595,0.051,0.031,0.124,0.188,0.124,0.031,0.694,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.100,0.019,0.031,0.124,0.031,0.635,0.019,0.056,0.039,0.148,0.031,0.010,0.016,0.485,0.019,0.124,0.031,0.198,0.039,0.081,0.093
3095,3095,0.014,0.014,0.014,0.014,0.153,0.099,0.014,0.014,0.122,0.014,0.604,0.153,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.159,0.008,0.604,0.014,0.014,0.159,0.008,0.159,0.014,0.019,0.014,0.216,0.079,0.604,0.014,0.604,0.604,0.008,0.102,0.191,0.014
3096,3096,0.041,0.116,0.041,0.041,0.057,0.045,0.041,0.023,0.041,0.097,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.023,0.023,0.050,0.097,0.041,0.041,0.041,0.101,0.041,0.041,0.041,0.101,0.041,0.097,0.023,0.041,0.097,0.023,0.101,0.101,0.041
3097,3097,0.601,0.885,0.370,0.885,0.861,0.747,0.601,0.601,0.601,0.601,0.601,0.833,0.601,0.267,0.601,0.601,0.267,0.601,0.267,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.201,0.601,0.601,0.601,0.201,0.259,0.658,0.577,0.601,0.601,0.601,0.835,0.601,0.601,0.608,0.311
3098,3098,0.980,0.826,0.980,0.223,0.137,0.074,0.980,0.980,0.376,0.980,0.995,0.472,0.980,0.967,0.996,0.968,0.905,0.980,0.905,0.980,0.968,0.980,0.980,0.206,0.980,0.980,0.980,0.980,0.219,0.980,0.681,0.816,0.891,0.886,0.980,0.980,0.980,0.980,0.980,0.980,0.376,0.905,0.156,0.939
3099,3099,0.936,0.857,0.936,0.857,0.775,0.662,0.936,0.936,0.936,0.936,0.936,0.454,0.936,0.857,0.936,0.936,0.857,0.936,0.857,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.857,0.936
3100,3100,0.936,0.394,0.214,0.394,0.110,0.534,0.936,0.936,0.936,0.936,0.936,0.316,0.936,0.631,0.963,0.887,0.394,0.936,0.394,0.411,0.887,0.936,0.936,0.936,0.936,0.936,0.936,0.411,0.775,0.936,0.936,0.936,0.775,0.631,0.936,0.869,0.936,0.936,0.936,0.936,0.936,0.888,0.936,0.564
3101,3101,0.388,0.684,0.045,0.388,0.021,0.010,0.388,0.388,0.388,0.388,0.388,0.008,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.091,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.053,0.388,0.388,0.388,0.388,0.388,0.091,0.126,0.388,0.388,0.388,0.388,0.126,0.126,0.388,0.007,0.388
3102,3102,0.276,0.276,0.276,0.276,0.116,0.116,0.276,0.276,0.199,0.015,0.939,0.116,0.276,0.276,0.276,0.276,0.276,0.015,0.276,0.015,0.276,0.276,0.276,0.199,0.015,0.939,0.276,0.276,0.657,0.015,0.199,0.276,0.657,0.276,0.184,0.276,0.387,0.276,0.184,0.939,0.276,0.387,0.130,0.276
3103,3103,0.092,0.092,0.092,0.092,0.793,0.793,0.092,0.092,0.092,0.092,0.092,0.793,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.490,0.092,0.092,0.092,0.092,0.154,0.092,0.154,0.490,0.154,0.092,0.490,0.490,0.653,0.258,0.490,0.092,0.490,0.092,0.092,0.782
3104,3104,0.881,0.511,0.881,0.511,0.822,0.695,0.881,0.881,0.881,0.881,0.881,0.869,0.881,0.720,0.881,0.881,0.720,0.881,0.720,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.720,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.131,0.881
3105,3105,0.258,0.258,0.258,0.258,0.702,0.702,0.258,0.258,0.258,0.258,0.258,0.826,0.258,0.258,0.223,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.181,0.258,0.258,0.258,0.258,0.224,0.258,0.101,0.181,0.224,0.223,0.193,0.873,0.424,0.258,0.254,0.258,0.487,0.427,0.092,0.480
3106,3106,0.035,0.016,0.144,0.016,0.052,0.069,0.035,0.035,0.035,0.035,0.107,0.033,0.035,0.081,0.064,0.081,0.048,0.035,0.048,0.049,0.081,0.035,0.035,0.035,0.035,0.107,0.035,0.144,0.035,0.035,0.035,0.035,0.035,0.076,0.144,0.035,0.107,0.044,0.037,0.128,0.046,0.286,0.304,0.068
3107,3107,0.134,0.364,0.141,0.134,0.099,0.085,0.134,0.134,0.134,0.134,0.484,0.103,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.337,0.134,0.134,0.134,0.134,0.434,0.134,0.204,0.214,0.498,0.134,0.214,0.222,0.134,0.134,0.134,0.134,0.214,0.134,0.134,0.187
3108,3108,0.455,0.880,0.455,0.880,0.858,0.703,0.455,0.455,0.455,0.455,0.455,0.873,0.455,0.455,0.274,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.879,0.638,0.847,0.455,0.455,0.455,0.455,0.455,0.600,0.530,0.829,0.256
3109,3109,0.704,0.704,0.704,0.704,0.798,0.680,0.704,0.704,0.704,0.704,0.704,0.802,0.704,0.952,0.704,0.941,0.704,0.704,0.808,0.704,0.940,0.704,0.940,0.386,0.704,0.704,0.704,0.704,0.704,0.704,0.386,0.386,0.704,0.952,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.689
3110,3110,0.913,0.661,0.913,0.913,0.134,0.077,0.913,0.913,0.913,0.913,0.913,0.134,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.134,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.134,0.913
3111,3111,0.046,0.332,0.359,0.126,0.123,0.056,0.046,0.046,0.013,0.046,0.046,0.129,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.194,0.046,0.046,0.046,0.046,0.285,0.046,0.142,0.116,0.364,0.046,0.046,0.046,0.428,0.046,0.119,0.046,0.119,0.046,0.131,0.219
3112,3112,0.052,0.041,0.052,0.041,0.347,0.010,0.052,0.215,0.230,0.215,0.052,0.347,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.018,0.018,0.052,0.215,0.052,0.037,0.018,0.017,0.044,0.151,0.052,0.015,0.015,0.068,0.018,0.018,0.052,0.005,0.004,0.215,0.109
3113,3113,0.961,0.439,0.961,0.439,0.761,0.653,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.953,0.993,0.935,0.713,0.961,0.713,0.961,0.935,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.761,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.713,0.961
3114,3114,0.156,0.156,0.156,0.156,0.179,0.109,0.156,0.156,0.156,0.102,0.156,0.167,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.040,0.156,0.150,0.156,0.156,0.156,0.156,0.109,0.179,0.167,0.102,0.109,0.109,0.179,0.192,0.109,0.109
3115,3115,0.317,0.366,0.317,0.366,0.097,0.052,0.317,0.317,0.317,0.317,0.317,0.110,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.018,0.016,0.317,0.317,0.317,0.016,0.016,0.018,0.157,0.317,0.317,0.512,0.317,0.317,0.317,0.317,0.120,0.047,0.189,0.489,0.591
3116,3116,0.667,0.667,0.667,0.667,0.788,0.788,0.667,0.667,0.667,0.667,0.667,0.788,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.516,0.667,0.667,0.667,0.667,0.516,0.667,0.516,0.516,0.516,0.667,0.667,0.516,0.667,0.667,0.667,0.667,0.667,0.516,0.667,0.437
3117,3117,0.505,0.505,0.505,0.505,0.036,0.017,0.505,0.165,0.505,0.165,0.165,0.195,0.505,0.522,0.366,0.166,0.505,0.505,0.505,0.505,0.522,0.505,0.505,0.135,0.165,0.505,0.505,0.068,0.665,0.505,0.407,0.344,0.622,0.110,0.053,0.675,0.043,0.352,0.068,0.140,0.115,0.154,0.303,0.086
3118,3118,0.378,0.378,0.378,0.378,0.020,0.012,0.378,0.089,0.378,0.089,0.089,0.117,0.378,0.351,0.211,0.131,0.378,0.378,0.378,0.378,0.351,0.378,0.378,0.096,0.089,0.378,0.378,0.049,0.322,0.378,0.367,0.435,0.627,0.069,0.038,0.165,0.049,0.089,0.049,0.049,0.089,0.363,0.320,0.093
3119,3119,0.682,0.588,0.682,0.588,0.175,0.013,0.682,0.682,0.338,0.682,0.956,0.177,0.682,0.259,0.682,0.682,0.259,0.682,0.259,0.682,0.682,0.682,0.682,0.188,0.682,0.884,0.682,0.259,0.180,0.682,0.088,0.588,0.180,0.052,0.726,0.682,0.368,0.682,0.726,0.726,0.682,0.368,0.024,0.048
3120,3120,0.791,0.606,0.497,0.606,0.815,0.712,0.791,0.791,0.791,0.791,0.791,0.847,0.791,0.603,0.724,0.791,0.603,0.791,0.603,0.791,0.791,0.791,0.791,0.590,0.791,0.791,0.791,0.791,0.396,0.791,0.590,0.590,0.396,0.724,0.560,0.641,0.791,0.791,0.791,0.791,0.525,0.410,0.791,0.746
3121,3121,0.032,0.127,0.032,0.032,0.041,0.026,0.032,0.041,0.009,0.032,0.037,0.041,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.041,0.033,0.047,0.032,0.032,0.043,0.154,0.181,0.032,0.107,0.017,0.022,0.488,0.070,0.041,0.047,0.031,0.121,0.047,0.165,0.193
3122,3122,0.910,0.708,0.910,0.910,0.761,0.054,0.910,0.910,0.910,0.910,0.904,0.910,0.910,0.910,0.900,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.378,0.910,0.910,0.900,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.900,0.769,0.910
3123,3123,0.634,0.281,0.485,0.281,0.845,0.716,0.634,0.634,0.634,0.634,0.634,0.845,0.634,0.281,0.634,0.634,0.281,0.634,0.281,0.634,0.634,0.634,0.634,0.698,0.634,0.634,0.634,0.634,0.576,0.634,0.368,0.698,0.576,0.634,0.634,0.769,0.634,0.634,0.634,0.634,0.769,0.903,0.634,0.437
3124,3124,0.018,0.018,0.018,0.018,0.103,0.052,0.018,0.056,0.035,0.056,0.018,0.221,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.014,0.006,0.018,0.066,0.018,0.089,0.006,0.008,0.008,0.127,0.018,0.009,0.011,0.050,0.006,0.008,0.016,0.014,0.014,0.056,0.112
3125,3125,0.934,0.934,0.934,0.934,0.874,0.677,0.934,0.934,0.934,0.934,0.934,0.887,0.934,0.934,0.968,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.715,0.934,0.934,0.934,0.715,0.968,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.968,0.934,0.828
3126,3126,0.701,0.701,0.701,0.701,0.208,0.099,0.701,0.701,0.701,0.701,0.701,0.259,0.701,0.701,0.367,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.233,0.701,0.701,0.701,0.701,0.701,0.701,0.233,0.233,0.701,0.119,0.506,0.701,0.701,0.701,0.701,0.189,0.305,0.372,0.300,0.233
3127,3127,0.105,0.105,0.105,0.105,0.389,0.081,0.105,0.105,0.086,0.105,0.389,0.389,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.165,0.105,0.105,0.105,0.105,0.333,0.105,0.154,0.173,0.516,0.389,0.107,0.096,0.105,0.105,0.120,0.105,0.173,0.178,0.115,0.229
3128,3128,0.918,0.918,0.059,0.918,0.109,0.530,0.918,0.918,0.918,0.918,0.918,0.161,0.918,0.918,0.885,0.918,0.918,0.918,0.918,0.126,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.126,0.918,0.918,0.918,0.918,0.918,0.885,0.784,0.918,0.918,0.918,0.918,0.918,0.918,0.523,0.523,0.918
3129,3129,0.927,0.474,0.927,0.479,0.088,0.046,0.927,0.927,0.927,0.927,0.927,0.458,0.927,0.920,0.946,0.902,0.904,0.927,0.904,0.927,0.902,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.458,0.927,0.927,0.920,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.904,0.087,0.927
3130,3130,0.946,0.946,0.946,0.946,0.883,0.784,0.946,0.946,0.946,0.946,0.946,0.883,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.643,0.946,0.946,0.946,0.946,0.671,0.946,0.643,0.643,0.671,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.851
3131,3131,0.969,0.969,0.867,0.969,0.880,0.783,0.969,0.969,0.969,0.969,0.969,0.892,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.665,0.969,0.969,0.969,0.665,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969
3132,3132,0.618,0.318,0.618,0.318,0.114,0.081,0.618,0.618,0.640,0.618,0.886,0.564,0.618,0.119,0.187,0.147,0.112,0.618,0.112,0.618,0.574,0.618,0.618,0.818,0.618,0.886,0.618,0.120,0.818,0.618,0.818,0.618,0.818,0.062,0.165,0.404,0.047,0.618,0.305,0.633,0.105,0.446,0.264,0.046
